season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
lightSpring,Love & Roses Cotton Cutwork Crew Neck Shell Top (Mint Green),next,top,mint,283 RON,219 RON,https://www.next.ro/ro/style/su949238/g11152,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G11152s.jpg,2025-01-05
lightSpring,Love & Roses Tie Shoulder Lace Trim Blouse (Mint Green),next,top,mint,290 RON,,https://www.next.ro/ro/style/su898080/v24429,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V24429s.jpg,2025-01-06
deepWinter,Love & Roses Sequin V-Neck Printed Vest (Raspberry Pink),next,top,raspberry,216 RON,,https://www.next.ro/ro/style/sv000342/v49184,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V49184s.jpg,2025-01-06
deepAutumn,Lipsy Notch Neck Sleeveless Top (Chocolate Brown),next,top,chocolate,238 RON,,https://www.next.ro/ro/style/sv088538/h65065,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H65065s.jpg,2025-01-06
lightSummer,COS Midi Dress with Dropped Waist,hm,dress,chiffon,500 RON,,https://www2.hm.com/ro_ro/productpage.1340709002.html,medium,https://media.cos.com/assets/001/ca/94/ca94c197a01666c744f53c021ec330ad638f1043.jpg,2025-01-06
softAutumn,H&M Off-Shoulder Draped Dress,hm,dress,olivegreen,94.99 RON,,https://www2.hm.com/ro_ro/productpage.1341112001.html,high,https://image.hm.com/assets/hm/20/e4/20e4ce7506010615eb2f18566ee5275df35f19d9.jpg,2025-01-07
brightWinter,H&M Strappy Dress with Ruffles,hm,dress,hotpink,139.99 RON,,https://www2.hm.com/ro_ro/productpage.1345318005.html,high,https://image.hm.com/assets/hm/13/56/1356ac601b672a4b16cc70e0afc188a7fa7887d1.jpg,2025-01-07
lightSummer,H&M Strappy Broderie Anglaise Dress,hm,dress,softpink,249.99 RON,,https://www2.hm.com/ro_ro/productpage.1340487003.html,high,https://image.hm.com/assets/hm/22/47/22477e99388d3537975911b59649dc07262d125d.jpg,2025-01-07
lightSpring,H&M Tie-Detail Flared Dress,hm,dress,blush,139.99 RON,,https://www2.hm.com/ro_ro/productpage.1338303003.html,high,https://image.hm.com/assets/hm/bc/89/bc8975500602dd48ea01a5e0734a2b3a94858085.jpg,2025-01-07
lightSummer,COS Gathered Jersey Midi Dress,hm,dress,balletpink,500 RON,,https://www2.hm.com/ro_ro/productpage.1340708002.html,high,https://media.cos.com/assets/001/c1/98/c198c61bb2d4d955bfd2bab81b7aad442b851fa0.jpg,2025-01-08
